feature_type,x_min,y_min,x_max,y_max
building,0.000,161.080,18.275,206.217
building,156.538,424.428,232.289,533.917
building,153.539,508.217,179.724,532.157
building,0.000,528.916,153.863,601.408
building,120.250,609.951,143.882,632.623
building,722.092,560.784,741.313,574.997
building,609.186,1013.238,637.195,1024.000
building,636.624,939.631,713.932,1016.441
building,712.901,835.876,742.058,865.762
building,669.761,858.516,774.884,947.031
building,919.406,996.672,949.260,1024.000
building,993.326,981.480,1024.000,1024.000
building,871.484,907.252,944.472,997.644
building,1000.428,927.215,1024.000,954.773
building,922.461,857.695,989.690,937.122
building,358.444,857.657,428.464,918.117
building,304.618,868.990,448.122,994.708
building,0.000,411.659,14.459,480.884
building,0.000,357.347,6.491,386.856
building,0.000,319.452,18.529,349.766
building,0.000,251.369,14.242,301.000
building,0.000,116.281,21.150,143.214
building,134.342,0.000,185.715,23.802
building,542.942,0.000,615.817,33.181
building,893.028,657.902,982.147,746.066
building,793.624,757.438,826.646,788.445
building,823.015,734.813,904.692,811.995
building,1001.402,652.102,1024.000,697.934
building,984.852,793.175,1024.000,901.791
building,454.419,844.265,481.945,877.296
