feature_type,x_min,y_min,x_max,y_max
building,184.371,1015.871,203.623,1024.000
building,140.138,1010.860,157.700,1024.000
building,141.650,999.367,160.240,1013.730
building,162.610,1006.900,184.022,1024.000
building,159.770,991.675,171.870,1013.990
building,184.385,989.800,207.317,1013.062
building,132.493,986.392,145.458,995.674
building,132.670,973.737,146.360,985.958
building,132.580,960.250,147.490,971.500
building,163.030,969.790,171.279,976.640
building,147.550,945.720,174.060,969.470
building,173.766,955.860,182.640,965.277
building,174.457,939.270,183.720,955.950
building,168.890,925.070,176.040,947.000
building,149.670,924.040,168.850,946.570
building,141.750,922.824,160.260,944.480
building,131.544,920.265,141.870,952.206
building,182.159,926.579,214.291,950.045
building,218.515,987.580,242.575,1024.000
building,241.463,1007.420,258.160,1024.000
building,257.291,1008.770,273.024,1024.000
building,272.827,1001.151,287.850,1024.000
building,289.120,980.000,307.040,999.588
building,297.730,964.810,306.780,980.260
building,288.020,962.370,301.700,979.450
building,279.846,965.260,288.760,978.610
building,283.410,939.850,309.820,964.740
building,264.214,962.640,271.600,975.910
building,272.002,961.410,283.220,967.523
building,272.180,938.172,289.340,962.050
building,259.950,936.520,273.690,957.257
building,224.070,966.110,244.930,982.614
building,244.960,956.330,256.990,982.370
building,225.370,951.560,249.440,967.575
building,227.010,930.796,260.590,957.300
building,285.816,998.377,323.810,1024.000
building,323.486,1014.454,340.690,1024.000
building,340.309,1016.230,367.726,1024.000
building,364.960,1006.006,389.050,1024.000
building,306.530,980.910,325.180,1002.306
building,307.040,965.070,322.880,982.500
building,306.887,942.230,326.790,965.550
building,320.978,965.173,340.040,986.635
building,325.530,944.200,342.730,965.910
building,339.605,968.130,354.480,984.950
building,340.980,946.050,358.560,968.159
building,354.500,968.938,370.900,987.190
building,356.823,947.890,373.410,970.060
building,368.992,983.080,392.711,999.003
building,370.220,969.760,390.580,986.360
building,371.870,949.610,392.484,970.020
building,467.802,1017.350,483.410,1024.000
building,468.750,1004.430,490.096,1019.420
building,485.920,983.900,503.890,1006.468
building,470.780,983.599,486.600,1005.480
building,503.060,989.280,511.465,1004.360
building,471.180,960.300,488.580,984.404
building,462.090,983.580,470.600,998.698
building,451.070,981.720,464.130,997.650
building,453.300,958.350,473.070,984.060
building,428.100,981.630,436.710,991.910
building,429.070,955.460,456.210,982.550
building,403.709,988.530,420.107,1001.800
building,404.210,972.100,429.130,990.890
building,406.390,953.426,430.068,973.880
building,488.251,962.080,497.490,981.142
building,497.646,963.110,508.891,977.487
building,436.310,982.514,451.601,998.351
building,483.560,1010.583,508.834,1024.000
building,401.225,1014.548,422.840,1024.000
building,405.580,1010.055,415.492,1015.077
building,195.854,851.794,216.035,891.850
building,274.351,869.090,297.532,899.670
building,261.628,867.286,276.380,894.977
building,324.758,870.073,344.029,904.289
building,799.530,1016.560,807.810,1024.000
building,801.640,995.110,812.273,1017.850
building,791.400,993.750,801.360,1017.990
building,780.660,992.530,792.210,1016.390
building,766.480,991.280,784.050,1014.350
building,756.200,986.805,775.650,1011.670
building,741.350,987.979,761.320,1009.710
building,728.966,992.437,744.261,1006.900
building,699.600,1004.313,718.843,1017.220
building,633.190,990.703,654.420,1013.700
building,653.980,993.340,671.910,1008.303
building,700.880,976.578,716.133,998.642
building,689.416,978.000,701.660,996.450
building,678.276,962.173,696.643,990.380
building,667.390,978.810,680.766,993.410
building,651.610,974.340,670.030,990.650
building,634.467,973.294,652.258,988.780
building,656.427,968.833,677.792,979.090
building,531.434,968.150,549.160,978.952
building,534.140,954.550,552.300,968.680
building,565.100,953.608,576.190,973.160
building,549.171,958.980,564.910,969.565
building,574.200,968.920,585.960,974.860
building,586.150,963.933,600.191,976.840
building,653.392,931.826,685.071,952.007
building,659.585,903.890,677.889,930.408
building,573.144,885.655,588.419,909.615
building,770.391,933.921,783.998,947.160
building,710.608,757.784,725.879,772.623
building,674.991,823.500,689.367,838.400
