feature_type,x_min,y_min,x_max,y_max
building,58.638,411.848,92.000,449.202
building,14.058,425.689,55.731,473.585
building,655.598,636.406,693.371,683.153
building,399.732,563.782,444.408,604.095
building,580.000,731.130,615.631,763.811
building,680.420,730.000,727.623,765.362
building,212.370,620.848,247.237,653.833
building,615.974,909.040,656.312,939.351
building,347.000,592.000,384.011,631.186
building,717.651,847.645,772.759,910.758
building,672.840,683.588,705.942,726.043
building,34.000,672.000,71.351,713.724
building,608.849,559.062,654.836,601.104
building,563.947,691.944,600.267,730.845
building,612.604,885.173,650.958,916.141
building,23.893,747.000,56.872,780.160
building,142.949,398.378,176.429,430.368
building,605.061,782.787,640.589,822.296
building,689.296,773.704,728.040,807.928
building,316.859,432.638,359.244,470.048
building,236.817,399.123,270.291,433.922
building,101.000,401.926,132.111,436.581
building,182.862,397.480,216.565,431.849
building,11.553,552.128,50.436,593.718
building,435.020,1003.287,468.218,1024.000
building,427.734,936.580,469.779,989.971
building,536.198,1002.413,569.718,1024.000
building,534.548,929.968,585.498,990.572
building,612.401,957.847,675.419,1024.000
building,741.481,1005.292,781.182,1024.000
building,726.765,927.944,772.626,990.233
building,511.628,797.502,581.711,855.905
building,0.000,596.602,8.499,616.670
building,51.277,522.162,98.358,573.629
building,238.406,500.164,273.142,552.021
building,306.006,487.379,345.022,538.661
building,352.254,469.104,392.258,513.718
building,0.000,447.600,17.787,482.089
building,0.000,304.246,33.501,370.213
building,37.811,302.022,76.149,348.873
building,87.339,301.878,122.736,339.421
building,133.271,297.764,167.863,334.502
building,187.670,284.799,218.130,329.975
building,246.306,297.671,279.021,334.409
building,312.605,312.574,353.674,353.986
building,348.798,321.188,390.894,370.472
building,295.661,607.383,331.945,645.896
building,252.844,612.922,288.797,661.575
building,432.022,533.008,481.151,578.396
building,635.265,607.604,676.293,644.164
building,108.055,529.986,145.711,567.643
building,152.195,525.248,188.106,562.655
building,192.627,520.858,230.284,558.764
building,277.429,406.339,317.290,455.189
