feature_type,x_min,y_min,x_max,y_max
building,208.983,0.000,253.004,24.607
building,215.206,36.514,249.330,74.572
building,204.846,81.443,242.722,130.779
building,218.625,134.356,244.111,180.710
building,205.315,183.069,242.157,229.738
building,192.186,241.158,238.143,281.906
building,102.367,236.567,138.170,278.778
building,108.013,180.269,146.761,227.313
building,109.545,130.197,150.586,177.241
building,111.830,83.392,150.572,121.076
building,115.871,29.590,155.950,76.344
building,117.604,0.000,149.040,25.268
building,5.227,0.000,42.011,24.357
building,10.570,33.276,42.470,70.820
building,1.246,75.653,40.469,123.013
building,3.756,127.173,38.650,173.612
building,0.000,177.713,37.771,224.914
building,0.424,227.599,33.010,274.888
building,0.000,323.201,32.771,362.339
building,0.000,369.477,24.446,421.817
building,0.000,425.343,23.091,475.739
building,0.000,483.952,21.311,532.297
building,0.000,538.892,19.987,591.826
building,0.000,594.460,16.824,647.002
building,0.000,651.151,10.628,703.640
building,0.000,706.528,9.232,760.003
building,0.000,763.495,6.461,813.650
building,198.487,326.564,231.675,372.054
building,191.453,377.174,228.060,425.729
building,97.753,330.229,139.428,372.252
building,95.182,378.523,143.763,430.109
building,93.212,436.417,119.495,489.155
building,89.517,491.840,122.026,542.974
building,87.825,547.610,120.236,599.431
building,80.328,603.257,112.454,655.696
building,80.893,659.305,109.292,711.327
building,78.896,715.140,112.055,762.270
building,78.135,766.636,110.193,818.275
building,117.011,802.317,139.474,822.636
building,175.199,774.370,201.419,822.488
building,171.514,730.768,214.375,773.177
building,183.984,681.348,211.813,727.083
building,187.173,629.840,210.675,677.132
building,190.454,579.134,215.395,622.825
building,186.427,527.071,218.714,577.757
building,197.329,480.118,223.855,524.705
building,191.733,427.402,224.722,471.800
building,271.897,778.783,298.915,824.797
building,275.272,730.132,303.683,775.162
building,278.441,678.980,310.340,724.959
building,278.619,629.214,308.284,674.739
building,284.309,580.633,319.448,624.375
building,291.957,529.411,315.748,555.236
building,291.869,483.117,321.935,526.235
building,300.397,338.272,343.823,372.853
building,297.729,431.529,320.576,471.928
building,383.480,335.031,421.028,383.434
building,379.769,392.454,419.411,427.137
building,385.973,432.740,415.179,478.856
building,375.462,486.247,414.376,525.759
building,376.058,531.948,410.613,578.407
building,371.580,582.113,414.500,628.055
building,377.328,631.020,407.508,678.017
building,490.939,336.198,524.512,381.194
building,493.771,386.048,530.827,431.602
building,566.009,369.924,614.628,409.487
building,480.673,445.369,520.383,471.011
building,481.737,486.511,516.229,532.205
building,483.625,537.983,509.019,582.629
building,478.789,586.624,504.923,629.912
building,476.912,635.639,509.439,680.466
building,474.228,687.022,512.713,732.520
building,470.370,739.275,507.481,776.604
building,470.098,786.710,507.623,829.311
building,366.601,726.792,405.737,773.439
building,372.832,778.061,404.359,823.777
building,372.038,682.990,400.735,707.647
building,570.146,489.518,611.515,533.069
building,574.197,538.455,608.606,584.008
building,570.324,590.132,607.872,634.229
building,547.005,783.997,596.320,832.985
building,555.913,731.829,598.719,781.315
building,561.072,684.414,601.369,722.002
building,566.602,643.174,602.359,677.376
building,661.372,797.194,712.393,835.984
building,665.354,735.304,702.679,788.257
building,671.656,672.178,711.164,724.215
building,674.072,612.460,704.888,664.609
building,675.832,544.823,716.804,603.273
building,679.947,476.590,714.921,532.442
building,685.945,431.428,710.983,468.753
building,765.755,356.421,808.543,414.047
building,764.951,421.315,804.569,477.068
building,763.462,486.793,797.777,539.281
building,758.311,545.088,796.820,590.079
building,744.756,788.601,784.715,835.107
building,754.549,730.304,783.723,780.845
building,755.038,673.794,789.178,723.764
building,752.658,603.758,793.407,665.729
building,910.936,0.000,945.100,15.310
building,903.194,144.145,942.162,188.461
building,899.794,201.437,941.271,249.246
building,900.631,280.726,955.100,310.120
building,905.832,84.991,934.539,126.032
building,908.547,28.748,933.794,76.575
building,1004.241,372.406,1024.000,416.320
building,888.767,368.278,929.254,412.534
building,881.134,791.657,910.806,843.340
building,885.752,737.763,921.445,784.698
building,887.314,672.734,925.546,732.184
building,891.002,612.648,919.708,664.059
building,894.667,547.767,925.998,605.440
building,896.501,493.000,936.324,539.849
building,900.152,423.029,938.579,486.292
building,1004.254,610.077,1024.000,653.205
building,1000.526,662.700,1024.000,707.933
building,1011.498,715.134,1024.000,771.293
building,1006.588,777.261,1024.000,822.119
building,995.734,828.942,1024.000,880.774
building,1000.578,1004.985,1024.000,1024.000
building,990.433,935.006,1024.000,994.642
building,1012.105,567.421,1024.000,592.373
building,849.109,908.728,948.106,1003.459
building,750.467,1013.425,773.465,1024.000
building,751.207,971.980,778.185,1009.117
building,750.457,931.870,778.038,969.429
building,743.430,885.974,782.777,921.971
building,650.881,1009.437,684.625,1024.000
building,651.711,971.020,676.563,1005.336
building,655.329,920.130,680.086,967.005
building,658.511,878.309,682.567,917.401
building,559.216,976.975,584.952,1024.000
building,563.977,928.351,588.612,973.443
building,564.184,876.576,588.860,924.689
building,460.585,877.032,497.383,914.014
building,455.662,919.241,496.186,963.602
building,456.040,969.710,494.639,1011.782
building,358.376,957.208,389.021,1008.559
building,359.423,914.306,390.591,950.120
building,355.018,873.731,396.515,909.093
building,261.552,1013.079,284.070,1024.000
building,262.299,971.714,285.648,1010.275
building,263.353,934.036,291.572,969.579
building,268.548,869.684,295.056,915.929
building,158.043,998.853,192.078,1024.000
building,156.600,947.998,192.635,992.736
building,170.422,901.665,197.148,942.865
building,163.032,859.047,197.613,897.785
building,64.229,999.664,98.068,1024.000
building,67.242,946.577,93.429,992.293
building,70.351,855.536,107.676,896.539
building,71.407,900.898,99.067,943.829
building,706.214,370.669,730.117,403.949
building,976.861,711.830,991.906,724.140
building,947.603,642.973,954.835,654.694
building,959.713,532.338,970.851,547.774
building,993.356,399.521,1002.931,414.566
building,985.828,261.295,999.311,275.168
building,990.169,153.983,1003.847,164.925
building,979.983,109.034,987.963,120.007
building,493.813,11.197,541.873,56.393
building,185.856,13.944,193.281,27.035
building,165.730,31.334,176.281,38.564
building,183.420,69.560,193.218,77.675
building,149.247,377.685,161.036,390.699
building,124.505,766.522,137.722,783.230
building,155.770,150.133,167.213,159.745
building,166.636,53.809,176.248,59.759
building,943.659,601.101,954.574,608.637
building,930.321,816.877,938.925,837.672
building,704.454,922.282,712.341,935.189
building,343.505,649.294,351.231,657.855
building,550.993,455.076,559.349,467.610
building,137.285,648.282,144.286,656.216
building,729.242,548.911,738.396,558.937
building,737.088,484.396,743.191,490.935
building,750.602,481.780,761.064,491.806
building,734.037,729.379,743.191,737.661
building,734.473,718.481,739.736,726.149
building,732.767,784.532,738.417,794.325
building,720.903,791.877,726.929,800.728
building,536.730,722.405,544.287,729.962
building,340.971,775.175,346.988,782.052
building,141.162,591.721,150.116,600.676
building,147.213,436.527,155.110,444.740
