feature_type,x_min,y_min,x_max,y_max
building,193.020,680.126,233.233,718.126
building,806.474,267.780,874.020,306.441
building,772.650,225.600,812.259,308.110
building,865.680,204.000,912.950,230.710
building,939.090,260.730,963.110,282.470
building,910.081,197.480,946.081,210.989
building,926.945,205.790,951.550,229.180
building,21.940,771.000,34.270,804.560
building,289.328,0.000,332.160,105.029
building,228.761,0.000,286.150,149.648
building,327.100,6.702,342.822,17.250
building,327.907,11.827,371.953,46.687
building,369.571,0.000,417.773,38.026
building,196.950,115.870,250.320,152.280
building,148.690,132.130,180.240,165.300
building,99.226,25.844,127.527,57.596
building,70.836,30.294,89.799,43.839
building,50.442,30.598,69.152,51.872
building,57.062,49.876,89.078,66.716
building,67.221,65.979,106.983,121.426
building,93.132,63.599,104.697,78.042
building,104.353,61.694,125.828,75.415
building,113.612,80.097,128.378,92.430
building,111.960,97.012,134.070,109.306
building,94.360,80.097,113.712,83.596
building,28.252,49.613,67.441,97.267
building,58.600,169.710,70.760,179.910
building,167.779,178.370,194.666,209.398
building,205.689,192.211,238.502,209.546
building,208.489,203.355,243.933,222.035
building,186.409,214.197,215.644,238.917
building,190.088,232.997,233.851,257.159
building,22.492,358.671,32.537,385.602
building,85.799,391.030,137.778,426.411
building,94.990,422.453,157.771,463.666
building,153.733,369.069,202.449,414.988
building,150.856,413.610,210.660,452.670
building,175.663,406.105,191.277,417.932
building,163.110,447.450,215.120,478.130
building,176.270,463.790,218.880,495.449
building,177.901,485.760,228.010,515.584
building,177.284,510.159,219.260,553.190
building,160.909,554.200,244.780,592.640
building,152.931,562.978,161.961,570.398
building,135.780,524.650,158.380,549.694
building,130.637,547.362,154.250,583.070
building,107.450,508.610,139.130,583.650
building,84.091,545.240,115.642,584.848
building,51.700,518.074,86.323,567.780
building,51.693,569.343,63.543,576.135
building,63.130,568.568,92.960,594.659
building,46.270,572.610,65.903,590.210
building,39.862,552.093,51.263,568.912
building,22.009,559.215,42.560,596.257
building,62.160,591.978,74.970,600.950
building,189.300,321.170,239.170,353.021
building,196.438,347.608,243.170,375.025
building,206.640,376.410,227.600,392.710
building,213.010,394.410,238.790,422.770
building,218.560,420.623,243.680,431.050
building,223.340,430.486,264.878,497.522
building,233.366,497.522,264.772,520.972
building,262.586,492.114,303.624,531.118
building,289.583,520.186,324.639,546.775
building,250.050,521.250,285.190,552.217
building,254.140,547.940,306.027,581.040
building,303.673,561.072,317.204,583.998
building,312.030,543.390,346.580,571.917
building,260.847,580.900,304.330,610.700
building,218.674,587.134,260.439,626.528
building,220.678,620.935,240.620,643.940
building,151.867,602.940,224.335,643.775
building,142.423,645.440,185.510,687.724
building,52.680,620.359,154.237,662.100
building,137.111,655.672,151.211,667.637
building,117.436,657.406,126.840,663.520
building,63.333,660.913,146.893,715.870
building,22.128,691.415,35.560,702.816
building,22.241,695.140,62.877,727.649
building,22.520,726.740,80.410,775.635
building,31.149,770.662,47.720,793.107
building,22.325,786.580,81.720,837.208
building,22.080,835.280,72.648,893.360
building,65.123,832.550,84.520,852.220
building,72.160,849.420,92.300,870.860
building,21.029,890.818,65.100,934.792
building,22.044,928.573,57.670,965.361
building,60.249,881.156,88.926,909.704
building,78.420,868.790,108.750,906.070
building,69.570,906.417,102.350,943.900
building,94.349,900.627,129.450,930.860
building,22.810,960.400,60.160,1011.307
building,60.030,953.130,86.050,971.660
building,70.950,977.350,95.902,999.230
building,73.820,999.327,84.162,1010.670
building,21.189,1008.900,58.388,1024.000
building,79.300,1004.510,98.356,1024.000
building,94.502,1002.600,110.131,1011.610
building,92.182,988.130,106.537,999.030
building,104.765,1006.888,113.676,1014.200
building,104.470,947.100,195.972,1017.330
