feature_type,x_min,y_min,x_max,y_max
building,63.932,594.904,130.318,641.152
building,16.774,490.479,64.408,538.135
building,9.791,536.647,19.980,543.957
building,68.237,489.757,115.637,534.185
building,119.708,489.831,174.499,532.664
building,179.428,489.590,225.186,534.178
building,235.099,488.663,282.518,532.347
building,289.667,487.280,340.666,533.813
building,350.883,485.131,397.139,531.740
building,399.971,490.127,455.067,532.451
building,460.662,484.820,509.019,527.477
building,519.185,451.307,583.074,501.425
building,566.460,421.711,629.333,475.293
building,617.561,393.364,684.896,445.858
building,665.831,361.103,728.589,414.673
building,729.818,320.564,791.021,384.311
building,773.765,291.350,841.053,349.437
building,817.234,229.229,869.532,273.188
building,693.235,208.058,755.472,271.919
building,618.640,268.575,683.376,321.721
building,618.134,208.756,665.202,251.302
building,507.361,209.145,555.251,254.042
building,512.384,321.537,568.668,380.888
building,421.175,374.752,483.109,421.490
building,420.119,317.599,466.301,371.898
building,504.603,263.064,555.219,308.860
building,422.320,266.007,474.996,313.812
building,417.096,210.925,473.069,256.721
building,315.958,364.275,363.371,422.614
building,265.768,372.356,307.801,422.686
building,208.045,371.547,258.081,422.855
building,105.775,373.545,146.988,424.888
building,46.746,377.384,98.700,425.009
building,0.000,383.381,42.046,426.496
building,0.176,286.408,41.928,328.825
building,46.679,285.464,96.641,330.931
building,99.722,285.571,150.667,329.451
building,157.214,285.264,201.051,331.085
building,210.348,284.111,253.863,330.389
building,261.649,282.676,310.176,333.314
building,261.430,341.881,271.756,351.426
building,315.266,338.141,323.129,346.616
building,156.499,374.576,203.582,421.663
building,315.685,281.574,360.604,327.575
building,470.031,587.623,528.831,657.165
building,411.337,574.354,439.479,603.037
building,371.932,585.455,400.484,607.646
building,320.224,627.495,369.286,666.486
building,22.720,829.423,57.606,855.892
building,802.210,861.380,862.013,959.027
building,801.344,819.299,830.010,862.910
building,950.518,203.471,989.671,221.139
building,834.920,724.659,859.288,732.022
building,865.904,699.900,874.351,737.099
