feature_type,x_min,y_min,x_max,y_max
building,1003.190,918.469,1024.000,951.351
building,966.260,902.789,1003.333,940.345
building,1011.380,982.496,1021.717,991.883
building,1016.301,1000.351,1024.000,1024.000
building,932.685,957.678,999.847,1024.000
building,816.386,944.566,933.781,991.500
building,804.666,982.688,870.797,1010.542
building,785.501,939.295,811.404,957.831
building,785.960,1006.437,801.901,1022.116
building,778.690,991.371,795.332,1009.065
building,669.366,936.960,711.275,976.611
building,637.009,960.836,670.464,996.523
building,587.187,979.862,628.773,1023.705
building,597.640,931.616,653.579,975.451
building,583.227,927.830,615.880,955.230
building,561.951,874.458,608.220,936.290
building,583.066,954.240,597.412,967.300
building,565.361,817.597,628.384,868.371
building,540.071,855.134,564.001,883.805
building,543.315,801.746,600.946,847.261
building,585.734,779.256,628.063,811.714
building,546.310,772.408,584.581,809.206
building,640.959,1009.763,662.067,1024.000
building,730.401,818.791,772.357,861.819
building,671.374,791.383,690.120,807.157
building,636.977,714.580,672.550,756.149
building,657.500,706.639,681.287,730.770
building,613.815,722.199,637.860,748.411
building,598.288,711.113,610.104,724.593
building,683.229,692.673,721.050,741.520
building,715.807,692.827,747.847,742.592
building,745.999,707.748,763.947,727.389
building,724.210,662.252,752.079,694.255
building,724.664,629.618,737.080,641.471
building,774.361,612.465,803.608,639.415
building,705.443,594.135,722.134,610.979
building,744.530,564.820,776.187,595.513
building,734.384,553.404,765.350,585.250
building,789.414,579.746,800.898,590.924
building,803.808,566.271,816.364,578.827
building,825.157,746.758,868.343,788.696
building,865.475,770.803,888.728,789.992
building,901.127,459.577,923.176,478.412
building,908.630,439.977,931.751,461.874
building,866.827,423.440,898.370,451.615
building,874.029,386.178,890.622,403.787
building,713.007,145.868,726.093,159.162
building,666.062,158.747,685.795,178.896
building,641.343,136.936,673.124,168.094
building,498.709,634.156,531.478,672.131
building,470.600,576.294,513.269,634.205
building,420.076,581.591,481.984,632.248
building,405.031,579.170,452.840,618.251
building,412.192,547.751,458.619,589.810
building,352.407,526.311,411.776,624.141
building,406.236,463.942,428.939,485.533
building,392.956,443.324,414.177,463.417
building,374.559,399.819,383.577,409.081
building,352.869,371.720,376.354,397.487
building,315.845,393.085,356.256,428.303
building,167.030,367.228,250.330,442.259
building,249.277,309.814,338.527,362.646
building,300.977,267.924,311.405,278.965
building,288.015,274.874,303.409,290.351
building,233.438,232.552,265.666,259.711
building,192.874,162.602,268.537,226.048
building,127.121,207.095,171.595,241.636
building,178.219,154.960,223.543,192.628
building,101.810,171.191,141.622,200.284
building,210.057,90.010,221.007,101.144
building,206.968,81.368,217.620,91.860
building,151.017,82.960,201.089,132.727
building,136.929,66.370,189.350,103.790
building,134.020,58.309,178.120,87.340
building,185.724,54.011,204.349,73.990
building,141.754,46.946,165.910,69.861
building,136.223,28.999,161.169,52.816
building,228.394,6.685,279.938,45.342
building,250.158,0.000,266.290,12.493
building,261.836,0.000,276.102,7.563
building,214.748,30.487,228.520,42.226
building,241.767,32.818,295.775,76.685
building,266.772,76.220,316.616,120.686
building,274.677,61.107,299.760,85.617
building,280.569,101.211,337.234,154.828
building,342.879,80.686,365.342,106.648
building,366.922,65.222,396.496,94.345
building,358.296,45.186,389.250,79.302
building,333.938,25.230,376.032,61.682
building,326.284,9.930,367.485,46.553
building,312.566,0.000,355.940,32.835
