feature_type,x_min,y_min,x_max,y_max
building,146.088,0.000,193.629,21.154
building,171.305,14.372,181.722,21.450
building,69.761,199.867,103.409,221.931
building,18.259,280.359,35.390,292.562
building,339.236,912.963,534.343,1024.000
building,369.490,905.416,421.795,937.799
building,530.241,995.016,545.364,1007.841
building,535.017,983.696,550.848,996.343
building,530.635,957.340,566.982,977.207
building,464.603,932.682,501.402,949.952
building,373.570,896.957,406.643,915.130
building,345.774,967.018,366.373,1002.692
building,491.916,984.099,525.483,1015.649
