feature_type,x_min,y_min,x_max,y_max
building,153.7,0.0,252.4,91.8
building,130.6,111.3,182.5,150.8
building,114.9,143.7,184.4,234.4
building,401.7,7.6,430.9,36.4
building,417.6,19.4,444.7,46.7
building,401.5,101.7,464.4,161.2
building,445.9,121.4,572.3,231.3
building,583.2,0.0,627.5,18.0
building,413.9,241.0,474.8,292.6
building,177.8,258.4,221.4,299.7
building,223.4,244.9,323.0,336.8
building,283.3,357.6,310.9,384.2
building,327.4,347.8,373.3,406.0
building,354.3,377.4,389.6,415.6
building,373.2,354.4,453.8,444.5
building,203.8,492.1,261.4,512.0
building,616.4,500.9,749.1,512.0
