feature_type,x_min,y_min,x_max,y_max
building,18.3,317.3,98.2,397.7
building,35.3,394.5,90.7,453.3
building,125.1,413.8,147.3,428.4
building,176.2,296.6,296.7,388.2
building,318.1,105.6,435.7,230.8
building,517.7,0.0,640.9,14.9
building,566.1,4.2,668.0,108.5
building,617.7,58.0,749.4,183.7
building,601.8,179.3,729.1,285.8
building,563.3,279.5,679.4,366.7
building,509.3,344.0,630.4,441.7
building,452.1,426.4,574.7,512.0
building,852.6,0.0,934.9,71.5
building,958.8,0.0,1024.0,97.4
building,1005.2,102.0,1024.0,141.9
building,986.1,230.0,1024.0,287.3
building,998.5,190.1,1024.0,236.9
building,865.5,234.6,992.1,339.9
building,802.3,285.5,891.7,393.3
building,718.7,397.2,839.4,494.6
building,683.8,458.1,792.8,512.0
building,0.0,110.6,8.6,232.3
building,0.0,165.4,24.2,198.9
