feature_type,x_min,y_min,x_max,y_max
building,16.3,272.8,82.7,317.1
building,452.1,0.0,574.7,16.1
building,414.6,4.3,519.1,104.4
building,373.7,110.7,486.4,199.8
building,352.5,200.8,469.7,288.6
building,339.3,288.0,450.7,374.7
building,320.4,379.7,431.0,465.3
building,301.6,471.0,409.1,512.0
building,0.0,424.7,21.1,512.0
building,683.8,0.0,792.8,61.2
building,638.8,27.2,742.9,131.3
building,595.5,108.1,698.7,219.9
building,562.7,218.6,657.3,315.5
building,543.7,314.0,638.2,400.0
building,525.0,399.4,628.5,493.2
building,504.2,495.4,592.5,512.0
building,792.8,509.7,919.3,512.0
building,835.7,424.2,941.6,509.0
building,852.7,322.8,960.5,409.1
building,873.8,217.5,997.3,317.4
building,906.9,138.5,1015.7,245.5
building,993.1,57.0,1024.0,138.3
