feature_type,x_min,y_min,x_max,y_max
building,301.6,0.0,409.1,48.8
building,233.7,45.7,354.9,149.1
building,0.0,0.0,21.1,18.5
building,136.0,212.4,238.5,295.8
building,203.1,277.4,304.7,374.3
building,253.6,369.2,358.3,459.5
building,301.8,455.5,417.2,512.0
building,504.2,0.0,592.5,71.7
building,453.3,84.7,566.2,174.6
building,425.4,168.5,522.3,261.2
building,448.8,281.9,538.8,383.6
building,517.2,378.2,618.0,485.5
building,630.6,352.5,742.0,452.1
building,700.1,275.2,818.2,379.4
building,747.9,174.8,878.1,282.6
building,795.3,93.5,902.0,178.3
building,792.8,0.0,919.3,83.7
building,1002.3,75.2,1024.0,112.8
building,985.4,166.7,1024.0,250.7
building,956.3,256.6,1024.0,360.5
building,900.3,349.5,987.6,456.4
building,849.0,434.4,940.2,512.0
