feature_type,x_min,y_min,x_max,y_max
building,368.7,495.7,407.2,512.0
building,280.3,485.7,315.4,512.0
building,283.3,462.7,320.5,491.5
building,325.2,477.8,368.0,512.0
building,319.5,447.3,343.7,492.0
building,368.8,443.6,414.6,490.1
building,265.0,436.8,290.9,455.3
building,265.3,411.5,292.7,435.9
building,265.2,384.5,295.0,407.0
building,326.1,403.6,342.6,417.3
building,295.1,355.4,348.1,402.9
building,347.5,375.7,365.3,394.6
building,348.9,342.5,367.4,375.9
building,337.8,314.1,352.1,358.0
building,299.3,312.1,337.7,357.1
building,283.5,309.6,320.5,353.0
building,263.1,304.5,283.7,368.4
building,364.3,317.2,428.6,364.1
building,437.0,439.2,485.1,512.0
building,482.9,478.8,516.3,512.0
building,514.6,481.5,546.0,512.0
building,545.7,466.3,575.7,512.0
building,578.2,424.0,614.1,463.2
building,595.5,393.6,613.6,424.5
building,576.0,388.7,603.4,422.9
building,559.7,394.5,577.5,421.2
building,566.8,343.7,619.6,393.5
building,528.4,389.3,543.2,415.8
building,544.0,386.8,566.4,399.0
building,544.4,340.3,578.7,388.1
building,519.9,337.0,547.4,378.5
building,448.1,396.2,489.9,429.2
building,489.9,376.7,514.0,428.7
building,450.7,367.1,498.9,399.2
building,454.0,325.6,521.2,378.6
building,571.6,460.8,647.6,512.0
building,647.0,492.9,681.4,512.0
building,680.6,496.5,735.5,512.0
building,729.9,476.0,778.1,512.0
building,613.1,425.8,650.4,468.6
building,614.1,394.1,645.8,429.0
building,613.8,348.5,653.6,395.1
building,642.0,394.3,680.1,437.3
building,651.1,352.4,685.5,395.8
building,679.2,400.3,709.0,433.9
building,682.0,356.1,717.1,400.3
building,709.0,401.9,741.8,438.4
building,713.6,359.8,746.8,404.1
building,738.0,430.2,785.4,462.0
building,740.4,403.5,781.2,436.7
building,743.7,363.2,785.0,404.0
building,935.6,498.7,966.8,512.0
building,937.5,472.9,980.2,502.8
building,971.8,431.8,1007.8,476.9
building,941.6,431.2,973.2,475.0
building,1006.1,442.6,1022.9,472.7
building,942.4,384.6,977.2,432.8
building,924.2,431.2,941.2,461.4
building,902.1,427.4,928.3,459.3
building,906.6,380.7,946.1,432.1
building,856.2,427.3,873.4,447.8
building,858.1,374.9,912.4,429.1
building,807.4,441.1,840.2,467.6
building,808.4,408.2,858.3,445.8
building,812.8,370.9,860.1,411.8
building,976.5,388.2,995.0,426.3
building,995.3,390.2,1017.8,419.0
building,872.6,429.0,903.2,460.7
building,967.1,485.2,1017.7,512.0
building,802.5,493.1,845.7,512.0
building,811.2,484.1,831.0,494.2
building,391.7,167.6,432.1,247.7
building,548.7,202.2,595.1,263.3
building,523.3,198.6,552.8,254.0
building,649.5,204.1,688.1,272.6
