feature_type,x_min,y_min,x_max,y_max
building,575.1,497.1,591.6,512.0
building,579.3,454.2,600.5,499.7
building,558.8,451.5,578.7,500.0
building,537.3,449.1,560.4,496.8
building,509.0,446.6,544.1,492.7
building,488.4,437.6,527.3,487.3
building,458.7,440.0,498.6,483.4
building,433.9,448.9,464.5,477.8
building,375.2,472.6,413.7,498.4
building,242.4,445.4,284.8,491.4
building,284.0,450.7,319.8,480.6
building,377.8,417.2,408.3,461.3
building,354.8,420.0,379.3,456.9
building,332.6,388.3,369.3,444.8
building,310.8,421.6,337.5,450.8
building,279.2,412.7,316.1,445.3
building,244.9,410.6,280.5,441.6
building,288.9,401.7,331.6,422.2
building,38.9,400.3,74.3,421.9
building,44.3,373.1,80.6,401.4
building,106.2,371.2,128.4,410.3
building,74.3,382.0,105.8,403.1
building,124.4,401.8,147.9,413.7
building,148.3,391.9,176.4,417.7
building,282.8,327.7,346.1,368.0
building,295.2,271.8,331.8,324.8
building,122.3,235.3,152.8,283.2
building,516.8,331.8,544.0,358.3
building,397.2,0.0,427.8,9.2
building,326.0,111.0,354.7,140.8
