feature_type,x_min,y_min,x_max,y_max
building,117.3,311.7,184.0,386.4
building,28.1,339.4,111.5,435.2
building,285.9,284.8,352.9,348.7
building,633.7,353.3,718.5,428.1
building,473.6,286.2,540.6,355.8
building,202.0,291.9,264.2,361.2
building,365.7,283.0,433.1,351.7
building,476.8,488.3,546.3,512.0
building,612.0,462.8,690.0,512.0
building,704.5,426.2,784.5,512.0
building,0.0,383.2,35.6,452.2
building,0.0,96.5,67.0,228.4
building,75.6,92.0,152.3,185.7
building,174.7,91.8,245.5,166.8
building,266.5,83.5,335.7,157.0
building,375.3,57.6,436.3,148.0
building,492.6,83.3,558.0,156.8
building,625.2,113.1,707.3,196.0
building,697.6,130.4,781.8,228.9
building,554.9,300.7,634.6,398.4
