feature_type,x_min,y_min,x_max,y_max
building,799.5,103.6,888.8,184.2
building,424.7,217.7,494.5,283.7
building,694.0,160.0,768.0,238.4
building,68.0,320.0,142.7,403.4
building,47.8,470.0,113.7,512.0
building,23.1,80.3,100.9,163.4
building,0.0,169.2,17.0,209.3
building,102.6,20.3,196.7,123.3
building,476.8,0.0,546.3,80.0
building,612.0,0.0,690.0,53.3
building,704.5,0.0,784.5,3.4
building,591.3,190.8,663.9,267.8
building,505.7,201.8,577.6,299.2
building,864.0,42.0,962.3,132.8
building,216.1,36.0,291.4,111.3
building,304.4,26.5,376.2,101.3
building,385.3,17.7,460.6,93.5
