feature_type,x_min,y_min,x_max,y_max
building,418.0,0.0,506.0,49.2
building,430.4,73.0,498.7,149.1
building,409.7,162.9,485.4,261.6
building,437.2,268.7,488.2,361.4
building,410.6,366.1,484.3,459.5
building,384.4,482.3,476.3,512.0
building,204.7,473.1,276.3,512.0
building,216.0,360.5,293.5,454.6
building,219.1,260.4,301.2,354.5
building,223.7,166.8,301.1,242.2
building,231.7,59.2,311.9,152.7
building,235.2,0.0,298.1,50.5
building,10.5,0.0,84.0,48.7
building,21.1,66.6,84.9,141.6
building,2.5,151.3,80.9,246.0
building,7.5,254.3,77.3,347.2
building,0.0,355.4,75.5,449.8
building,0.8,455.2,66.0,512.0
building,987.6,22.4,1024.0,112.8
building,371.7,27.9,386.6,54.1
building,331.5,62.7,352.6,77.1
building,366.8,139.1,386.4,155.3
building,311.5,300.3,334.4,319.5
building,333.3,107.6,352.5,119.5
