feature_type,x_min,y_min,x_max,y_max
building,384.4,0.0,476.3,51.8
building,204.7,0.0,276.3,45.6
building,0.8,0.0,66.0,37.8
building,0.0,134.4,65.5,212.7
building,0.0,227.0,48.9,331.6
building,0.0,338.7,46.2,439.5
building,0.0,455.9,42.6,512.0
building,397.0,141.1,463.4,232.1
building,382.9,242.3,456.1,339.5
building,195.5,148.5,278.9,232.5
building,190.4,245.0,287.5,348.2
building,186.4,360.8,239.0,466.3
building,179.0,471.7,244.1,512.0
building,394.7,448.2,447.7,512.0
building,383.5,342.8,449.4,431.6
building,583.7,454.2,643.9,512.0
building,600.8,164.5,687.6,233.7
building,595.5,351.1,641.2,431.9
building,767.0,158.1,842.1,254.9
building,759.5,272.9,838.8,342.3
building,771.9,353.5,830.4,445.7
building,750.9,460.5,828.8,512.0
building,981.9,160.4,1024.0,250.4
building,987.5,260.1,1024.0,351.2
building,961.3,378.7,1024.0,430.0
building,963.5,461.0,1024.0,512.0
building,298.5,243.4,322.1,269.4
building,294.4,361.1,310.2,377.5
