feature_type,x_min,y_min,x_max,y_max
building,0.0,160.4,25.0,250.4
building,0.0,260.1,37.7,351.2
building,108.0,227.8,205.3,307.0
building,0.0,378.7,16.8,430.0
building,0.0,461.0,8.5,512.0
building,116.3,467.0,199.0,512.0
building,335.9,441.2,405.8,512.0
building,347.9,350.9,398.0,425.5
building,507.5,200.8,593.1,316.1
building,505.9,330.6,585.1,442.1
building,502.9,461.6,571.6,512.0
building,777.3,49.5,886.2,108.2
building,984.5,232.8,1024.0,320.6
building,753.5,224.6,834.5,313.1
building,769.0,474.0,848.6,512.0
building,776.3,334.1,853.2,460.6
building,388.4,229.3,436.2,295.9
building,962.7,287.0,981.9,317.1
building,947.7,10.6,974.6,38.3
building,78.0,398.2,94.7,423.2
building,450.2,456.8,462.4,469.9
building,477.2,451.6,498.1,471.6
