feature_type,x_min,y_min,x_max,y_max
building,0.0,0.0,42.6,40.6
building,0.0,53.8,40.0,159.7
building,0.0,164.9,33.6,270.0
building,0.0,278.3,21.3,383.3
building,0.0,389.1,18.5,496.0
building,0.0,503.0,12.9,512.0
building,179.0,0.0,244.1,61.9
building,175.7,71.2,240.5,174.9
building,160.7,182.5,224.9,287.4
building,161.8,294.6,218.6,398.7
building,157.8,406.3,224.1,500.5
building,156.3,509.3,220.4,512.0
building,343.0,437.5,428.8,512.0
building,368.0,338.7,423.6,430.2
building,374.3,235.7,421.4,330.3
building,380.9,134.3,430.8,221.7
building,372.9,30.1,437.4,131.5
building,394.7,0.0,447.7,25.4
building,550.5,436.3,607.4,512.0
building,556.9,334.0,620.7,425.9
building,557.2,234.4,616.6,325.5
building,568.6,137.3,638.9,224.8
building,583.9,34.8,631.5,86.5
building,583.7,0.0,643.9,28.5
building,750.9,0.0,828.8,27.5
building,752.1,39.9,821.2,132.8
building,743.2,140.2,829.0,232.1
building,754.7,238.0,815.0,332.0
building,963.5,0.0,1024.0,40.4
building,967.2,52.0,1018.0,141.3
building,957.6,149.2,1009.8,235.8
building,953.8,247.3,1018.9,336.9
building,948.5,350.0,1024.0,441.0
building,940.7,454.5,1015.0,512.0
building,733.2,429.6,811.5,512.0
building,744.1,342.0,801.5,391.3
building,249.0,509.0,275.4,512.0
building,687.0,274.6,702.5,291.7
building,274.6,272.6,288.6,288.4
building,282.3,159.4,300.2,177.4
