feature_type,x_min,y_min,x_max,y_max
building,0.0,0.0,8.5,40.4
building,0.0,350.0,1.4,441.0
building,116.3,0.0,199.0,42.1
building,124.4,52.9,193.2,144.0
building,116.6,156.3,191.7,244.5
building,87.8,439.7,173.4,512.0
building,98.1,344.8,178.7,420.0
building,109.2,262.3,180.7,330.8
building,306.7,446.6,381.4,512.0
building,319.3,320.4,398.3,424.4
building,324.1,200.9,385.8,305.2
building,327.7,65.6,409.6,182.5
building,335.9,0.0,405.8,40.9
building,502.9,0.0,571.6,54.6
building,492.6,66.2,569.6,156.2
building,485.1,436.6,543.4,512.0
building,486.1,323.6,554.4,423.5
building,481.3,183.5,562.8,307.5
building,747.5,451.5,818.9,512.0
building,750.6,321.5,827.1,440.4
building,758.0,201.3,815.4,304.1
building,765.3,71.5,828.0,186.9
building,769.0,0.0,848.6,55.7
building,984.5,196.2,1024.0,282.4
building,977.1,301.4,1024.0,391.9
building,999.0,406.3,1024.0,512.0
building,1000.2,110.8,1024.0,160.7
building,929.7,399.7,959.8,424.3
building,871.2,261.9,885.7,285.4
building,895.4,40.7,917.7,71.5
building,863.3,178.2,885.1,193.3
building,434.5,73.8,452.8,93.9
building,444.1,434.8,462.4,451.3
building,444.9,413.0,455.5,428.3
building,49.5,420.8,64.6,435.9
