feature_type,x_min,y_min,x_max,y_max
building,0.0,0.0,12.9,91.3
building,156.3,0.0,220.4,100.5
building,234.0,68.6,278.9,109.3
building,350.4,12.7,402.8,109.0
building,343.0,0.0,428.8,10.4
building,543.8,21.6,597.8,113.6
building,550.5,0.0,607.4,14.3
building,940.7,0.0,1015.0,17.2
building,940.2,37.4,1015.2,122.6
building,733.2,0.0,811.5,10.9
building,745.7,20.1,808.7,111.6
building,921.2,218.1,994.8,292.0
building,911.3,302.5,992.4,391.2
building,912.1,403.4,989.3,487.6
building,716.8,378.4,778.0,481.1
building,718.8,292.6,781.2,364.2
building,710.0,211.5,793.0,282.2
building,523.1,490.2,568.1,512.0
building,524.6,407.4,571.3,484.5
building,526.7,332.1,583.1,403.2
building,537.1,203.4,590.1,295.9
building,316.1,461.7,384.2,512.0
building,313.2,360.0,385.3,449.5
building,340.8,267.3,394.3,349.7
building,326.1,182.1,395.2,259.6
building,128.5,463.3,196.1,512.0
building,134.5,357.2,186.9,448.6
building,140.7,175.1,215.4,257.1
building,142.8,265.8,198.1,351.7
building,249.0,0.0,275.4,30.5
building,681.9,14.3,694.0,28.1
