feature_type,x_min,y_min,x_max,y_max
building,70.0,32.0,168.6,130.0
building,87.8,0.0,173.4,26.6
building,298.7,58.4,400.8,136.0
building,306.7,0.0,381.4,40.5
building,465.5,41.2,545.4,134.2
building,485.1,0.0,543.4,25.7
building,738.3,47.3,797.6,150.7
building,747.5,0.0,818.9,33.4
building,999.0,0.0,1024.0,6.6
building,989.2,18.5,1024.0,108.2
building,967.5,121.9,1024.0,225.5
building,977.2,474.0,1024.0,512.0
building,956.9,334.0,1024.0,453.3
building,674.2,281.5,872.2,470.9
building,476.9,490.8,522.9,512.0
building,478.4,408.0,532.4,482.2
building,476.9,327.7,532.1,402.9
building,462.9,235.9,541.6,307.9
building,277.8,482.9,345.2,512.0
building,279.4,406.0,329.1,474.7
building,286.7,304.3,336.2,398.0
building,293.0,220.6,341.1,298.8
building,94.4,418.0,145.9,512.0
building,104.0,320.7,153.2,410.9
building,104.4,217.2,153.7,313.4
building,836.6,97.8,853.8,139.3
building,384.9,308.6,400.7,334.4
building,441.5,33.1,452.8,52.7
building,417.8,47.8,429.9,65.5
