feature_type,x_min,y_min,x_max,y_max
building,578.7,0.0,664.3,210.1
building,457.5,0.0,572.3,299.3
building,654.2,13.4,685.6,34.5
building,655.8,23.7,743.9,93.4
building,739.1,0.0,835.5,76.1
building,393.9,231.7,500.6,304.6
building,297.4,264.3,360.5,330.6
building,198.5,51.7,255.1,115.2
building,141.7,60.6,179.6,87.7
building,100.9,61.2,138.3,103.7
building,114.1,99.8,178.2,133.4
building,134.4,132.0,214.0,242.9
building,186.3,127.2,209.4,156.1
building,208.7,123.4,251.7,150.8
building,227.2,160.2,256.8,184.9
building,223.9,194.0,268.1,218.6
building,188.7,160.2,227.4,167.2
building,56.5,99.2,134.9,194.5
building,117.2,339.4,141.5,359.8
building,335.6,356.7,389.3,418.8
building,411.4,384.4,477.0,419.1
building,417.0,406.7,487.9,444.1
building,372.8,428.4,431.3,477.8
building,380.2,466.0,467.7,512.0
building,772.8,291.1,875.3,427.2
building,688.1,308.6,783.6,431.4
building,767.5,416.1,925.3,512.0
building,645.1,436.5,779.9,512.0
building,567.3,487.1,640.8,512.0
building,601.8,433.8,657.5,475.1
building,588.5,327.8,665.0,438.9
building,760.7,120.7,880.8,255.4
building,887.5,24.0,916.8,50.9
building,945.3,0.0,1011.1,64.0
building,919.2,54.9,1024.0,146.8
building,963.5,108.2,1010.2,140.9
building,947.7,250.2,978.3,263.2
building,989.9,248.9,1023.3,266.9
building,924.6,256.8,952.8,281.1
building,1016.8,293.4,1024.0,371.1
building,1003.5,287.6,1023.9,314.6
building,939.2,272.3,1007.4,370.9
building,927.4,298.6,946.3,329.1
building,977.4,367.2,1024.0,441.8
building,189.1,397.1,329.6,512.0
building,166.4,0.0,233.1,41.5
building,257.8,0.0,314.6,58.5
building,262.6,0.0,404.0,120.6
building,274.2,111.3,388.5,178.8
building,324.2,164.6,395.8,223.0
building,428.3,186.7,459.3,216.8
building,427.6,86.1,474.8,134.5
building,227.3,232.9,275.4,258.6
building,231.6,252.1,274.1,276.9
building,200.0,279.2,249.5,334.3
building,87.2,206.7,133.0,296.6
building,101.0,300.8,122.8,319.8
building,47.8,334.5,76.9,387.3
building,97.2,366.0,122.5,389.1
building,103.8,387.8,120.1,406.3
building,113.9,379.9,130.9,398.1
building,124.5,400.7,147.2,427.9
building,109.1,417.8,131.5,442.9
building,44.8,423.6,90.5,475.5
building,69.4,410.4,90.5,425.0
building,87.8,429.8,108.9,454.4
building,422.2,331.7,546.2,385.0
building,844.0,96.7,865.3,118.5
