feature_type,x_min,y_min,x_max,y_max
building,521.3,451.2,600.5,512.0
building,707.4,408.0,801.9,461.4
building,796.2,395.0,868.2,422.0
building,829.9,411.6,879.1,458.4
building,260.1,487.9,324.9,512.0
building,330.1,493.3,524.9,512.0
building,78.8,504.2,267.4,512.0
building,200.6,503.8,226.3,512.0
building,218.6,501.3,241.9,512.0
building,0.0,54.9,47.9,146.8
building,51.6,0.0,134.9,44.1
building,52.0,38.8,164.8,76.1
building,51.4,68.2,162.0,96.8
building,51.4,95.6,152.2,133.4
building,75.4,129.4,179.5,185.1
building,102.7,174.8,152.3,207.5
building,205.2,0.0,257.5,31.2
building,190.4,36.0,244.5,99.2
building,345.3,6.5,386.2,48.5
building,483.1,0.0,536.0,40.1
building,592.1,0.0,651.2,24.0
building,641.2,0.0,845.0,99.9
building,235.7,28.6,435.2,209.2
building,410.4,22.7,467.5,123.3
building,384.6,92.8,416.0,116.7
building,389.8,118.5,450.6,165.9
building,172.8,186.4,209.6,215.6
building,130.5,221.3,222.1,291.4
building,69.5,233.0,144.7,300.7
building,27.6,258.1,96.8,319.7
building,0.0,293.4,75.9,371.1
building,0.0,367.2,32.4,441.8
building,71.4,276.8,176.2,375.5
building,2.0,364.5,185.5,475.7
building,884.6,0.0,968.2,57.1
building,775.4,80.0,977.3,145.2
building,755.0,118.1,785.4,171.0
building,789.2,142.9,809.7,164.5
building,833.3,130.0,885.4,198.3
building,858.9,153.3,888.3,179.0
building,763.9,164.8,811.4,231.1
building,811.4,201.4,835.8,217.3
building,841.9,190.3,922.1,258.5
building,816.5,222.6,935.5,309.3
building,796.4,258.2,828.9,294.7
building,941.9,128.0,1010.3,220.8
building,946.2,110.4,969.7,131.4
building,962.9,128.5,992.7,177.1
building,982.8,0.0,1024.0,51.9
building,699.7,113.8,752.4,188.7
building,616.8,156.0,630.0,169.9
building,655.2,164.1,683.5,220.4
building,605.3,194.3,650.3,223.4
building,719.9,187.8,785.3,249.7
building,725.5,242.7,789.7,302.7
building,747.3,298.2,798.5,356.4
building,801.0,305.4,852.9,373.1
building,832.5,294.8,937.3,383.2
building,936.7,332.3,1004.8,360.9
building,955.5,360.1,1024.0,422.3
building,983.6,421.5,1024.0,463.0
building,881.8,376.9,986.7,482.8
building,619.8,223.8,692.5,267.1
building,657.0,281.5,773.5,411.0
building,585.6,265.3,664.4,415.4
building,498.5,308.8,573.9,362.5
building,500.2,374.7,598.1,437.2
building,488.9,12.4,584.7,116.1
building,478.5,162.1,530.5,217.1
building,547.3,132.7,605.1,194.4
building,529.6,207.0,572.2,242.3
building,367.9,231.5,457.2,294.9
building,252.4,242.5,364.4,331.4
building,201.3,316.4,312.9,444.7
building,302.6,285.1,457.2,372.0
building,312.1,375.0,401.9,461.5
building,406.9,341.7,491.1,407.9
building,386.1,404.1,470.4,454.6
building,214.7,178.0,282.9,234.5
building,573.8,423.0,709.3,512.0
building,738.7,447.6,841.6,512.0
