feature_type,x_min,y_min,x_max,y_max
building,380.2,0.0,467.7,2.3
building,45.0,205.3,65.1,259.2
building,171.6,270.1,275.6,340.8
building,190.0,332.9,315.5,415.3
building,307.5,226.1,404.9,318.0
building,301.7,315.2,421.3,393.3
building,351.3,300.2,382.6,323.9
building,326.2,382.9,430.2,444.3
building,352.5,415.6,437.8,478.9
building,355.8,459.5,456.0,512.0
building,354.6,508.3,438.5,512.0
building,214.9,505.2,278.3,512.0
building,378.6,130.3,478.3,194.0
building,392.9,183.2,486.3,238.0
building,413.3,240.8,455.2,273.4
building,426.0,276.8,477.6,333.5
building,437.1,329.2,487.4,350.1
building,446.7,349.0,529.8,483.0
building,466.7,483.0,529.5,512.0
building,525.2,472.2,607.2,512.0
building,989.0,40.1,1024.0,103.2
building,1006.6,121.4,1024.0,268.9
building,971.6,285.1,1001.2,306.2
building,836.8,436.5,1023.9,512.0
building,888.9,451.3,927.0,480.4
building,819.4,394.8,928.7,469.9
building,864.6,317.6,979.8,392.2
building,693.7,327.6,772.0,412.2
building,774.7,341.8,814.9,389.6
building,717.8,463.8,817.3,512.0
building,573.8,361.5,643.7,411.1
building,595.3,363.3,623.3,371.4
building,863.7,206.0,962.1,280.8
building,781.7,95.1,962.3,189.2
building,619.0,88.7,785.5,200.7
building,723.3,175.3,756.0,193.7
building,556.8,86.3,627.1,172.4
building,571.2,165.4,627.4,241.9
building,495.7,160.2,567.1,199.1
building,513.3,188.0,564.0,245.5
building,533.1,231.5,648.3,359.6
building,690.8,239.7,754.3,317.6
building,748.2,233.2,776.5,276.7
building,767.5,0.0,925.3,4.5
building,645.1,0.0,779.9,16.6
building,567.3,0.0,640.8,44.5
building,189.1,0.0,329.6,9.7
building,441.1,4.9,473.4,32.2
building,377.8,39.2,434.8,73.4
building,53.4,111.6,145.5,203.8
building,107.1,84.8,195.2,152.4
building,170.0,180.8,247.3,256.2
building,191.9,261.3,208.9,280.8
building,85.5,212.9,158.7,299.3
building,79.8,288.8,155.1,358.8
building,80.2,346.9,110.5,388.0
building,45.4,335.2,75.8,386.9
building,44.8,390.2,108.6,424.7
building,44.9,451.1,116.3,512.0
building,166.2,436.7,224.1,495.4
building,153.5,379.9,224.0,456.4
