feature_type,x_min,y_min,x_max,y_max
building,588.9,23.6,724.0,100.9
building,521.3,0.0,600.5,104.2
building,854.2,9.5,902.2,52.9
building,619.6,476.0,704.9,512.0
building,756.2,476.9,837.7,512.0
building,991.8,496.4,1024.0,512.0
building,941.1,505.1,1024.0,512.0
building,941.6,430.3,1024.0,511.1
building,863.3,463.0,931.0,512.0
building,957.9,294.7,1024.0,377.8
building,900.0,212.9,1024.0,288.6
building,696.3,266.4,776.1,328.2
building,769.8,258.9,853.9,362.0
building,763.8,342.2,824.3,423.8
building,596.1,272.1,702.8,328.8
building,596.2,320.3,683.4,453.4
building,657.6,374.7,699.9,420.0
building,462.7,291.8,589.7,430.4
building,334.9,349.5,497.3,490.9
building,489.5,427.3,515.0,471.6
building,176.3,395.1,348.7,511.4
building,215.5,346.9,290.0,415.4
building,316.7,219.4,506.9,343.6
building,464.5,205.7,569.1,290.4
building,436.9,135.8,529.1,214.3
building,210.9,150.5,366.1,293.7
building,197.8,133.7,264.4,181.1
building,260.1,0.0,324.9,41.1
building,288.8,47.2,355.9,128.1
building,330.1,0.0,524.9,67.3
building,78.8,0.0,267.4,153.9
building,200.6,0.0,226.3,19.0
building,218.6,0.0,241.9,37.2
building,0.0,40.1,44.1,103.2
building,0.0,121.4,164.6,268.9
building,32.8,249.9,124.2,318.6
building,2.2,307.2,20.9,333.8
building,10.1,300.0,208.8,373.7
building,94.8,362.5,129.9,374.6
building,40.0,381.3,182.5,457.6
building,946.0,141.6,1024.0,205.4
building,893.9,49.3,1024.0,145.2
building,957.2,139.9,985.6,148.6
building,741.9,59.7,837.0,132.4
building,612.4,92.2,721.7,158.2
building,879.3,317.1,978.3,406.7
building,851.5,321.2,881.1,406.7
building,880.6,254.7,900.2,323.2
building,573.8,0.0,709.3,13.9
building,738.7,0.0,841.6,69.5
