feature_type,x_min,y_min,x_max,y_max
building,386.0,336.3,466.5,412.3
building,355.8,0.0,456.0,7.2
building,354.6,0.0,438.5,82.4
building,321.8,84.4,489.6,161.3
building,305.9,102.0,323.9,116.8
building,271.6,25.3,316.8,75.4
building,261.3,70.7,308.5,142.1
building,214.9,0.0,278.3,143.3
building,168.2,66.5,231.3,145.7
building,103.4,12.1,172.6,111.6
building,103.4,114.7,127.1,128.3
building,126.3,113.1,185.9,165.3
building,92.5,121.2,131.8,156.4
building,79.7,80.2,102.5,113.8
building,44.0,94.4,85.1,168.5
building,124.3,160.0,149.9,177.9
building,466.7,0.0,529.5,17.9
building,525.2,0.0,607.2,38.2
building,579.2,16.4,649.3,69.5
building,500.1,18.5,570.4,80.4
building,508.3,71.9,612.1,138.1
building,607.3,98.1,634.4,144.0
building,624.1,62.8,693.2,119.8
building,521.7,137.8,608.7,197.4
building,437.3,150.3,520.9,229.1
building,441.4,217.9,481.2,263.9
building,303.7,181.9,448.7,263.5
building,284.8,266.9,371.0,351.4
building,105.4,216.7,308.5,300.2
building,274.2,287.3,302.4,311.3
building,234.9,290.8,253.7,303.0
building,126.7,297.8,293.8,407.7
building,44.3,358.8,71.1,381.6
building,44.5,366.3,125.8,431.3
building,45.0,429.5,160.8,512.0
building,412.0,444.9,470.5,512.0
building,489.3,426.2,563.6,496.0
building,290.3,435.2,414.8,512.0
building,193.5,492.7,283.4,512.0
building,515.6,494.4,529.8,508.5
building,572.6,249.1,649.0,314.0
building,659.5,189.7,713.4,236.6
building,462.7,328.9,533.7,395.6
building,567.9,327.2,692.4,450.7
building,891.0,475.8,1007.9,512.0
building,996.4,485.5,1024.0,512.0
building,986.3,474.9,1024.0,512.0
building,969.7,405.8,1024.0,485.0
building,841.6,405.7,913.2,490.6
building,843.4,232.7,967.9,397.2
building,913.4,388.5,943.5,420.8
building,956.9,280.9,1024.0,336.5
building,941.6,186.1,1024.0,249.5
building,949.3,119.7,1024.0,202.8
building,811.3,129.0,903.9,298.2
building,836.8,0.0,1023.9,68.5
building,717.8,0.0,817.3,35.7
building,44.9,0.0,116.3,53.1
