feature_type,x_min,y_min,x_max,y_max
building,158.8,505.9,256.0,512.0
building,0.0,485.5,95.3,512.0
building,0.0,474.9,0.1,512.0
building,0.0,405.8,1.1,485.0
building,0.0,280.9,12.5,336.5
building,13.8,257.2,62.0,343.0
building,0.0,186.1,41.6,249.5
building,0.0,119.7,35.0,202.8
building,103.2,355.9,220.1,461.3
building,65.3,146.9,163.9,263.4
building,85.5,250.7,177.2,367.1
building,200.5,211.1,280.0,334.2
building,177.5,49.0,218.0,91.8
building,240.4,20.7,358.5,194.9
building,405.3,59.3,558.6,148.7
building,407.8,183.8,469.6,268.0
building,490.9,102.9,634.7,281.3
building,490.6,10.9,554.1,97.5
building,530.6,220.2,649.5,311.2
building,538.7,280.6,661.1,359.9
building,354.0,286.0,430.5,435.8
building,551.0,374.4,632.9,437.9
building,579.4,437.4,648.4,512.0
building,465.9,438.9,586.5,512.0
building,593.6,507.8,658.6,512.0
building,633.9,476.0,688.7,512.0
building,774.9,505.8,886.9,512.0
building,887.1,493.2,1024.0,512.0
building,917.9,481.2,935.5,498.7
building,965.2,454.2,1020.7,512.0
building,1008.1,384.7,1024.0,406.7
building,964.1,346.7,1024.0,445.1
building,878.0,277.0,1024.0,383.9
building,838.0,326.1,938.7,407.0
building,863.2,394.8,968.2,469.2
building,784.6,397.2,881.7,485.5
building,670.9,263.4,837.3,452.2
building,647.1,73.1,769.2,263.3
building,619.6,0.0,704.9,36.8
building,722.1,430.9,804.2,512.0
building,829.2,221.8,965.3,311.4
building,805.5,136.2,898.0,255.9
building,780.1,34.6,865.7,153.6
building,756.2,0.0,837.7,54.5
building,913.0,141.4,967.3,198.6
building,906.5,143.6,931.4,156.7
building,887.4,43.3,949.5,104.9
building,991.8,0.0,1024.0,62.8
building,941.1,0.0,1024.0,152.9
building,863.3,0.0,931.0,28.4
building,179.8,462.3,205.2,488.2
building,218.4,292.0,374.1,484.3
building,255.1,490.6,345.3,512.0
