feature_type,x_min,y_min,x_max,y_max
building,43.9,6.0,68.5,73.1
building,45.0,0.0,160.8,15.3
building,62.3,5.3,95.4,50.2
building,44.6,37.2,163.4,138.4
building,44.2,134.6,145.3,250.7
building,130.2,129.1,169.0,168.4
building,144.3,162.8,184.6,205.7
building,42.1,245.6,130.2,333.6
building,44.1,321.1,115.3,394.7
building,120.5,226.3,177.9,283.4
building,156.8,201.6,217.5,276.1
building,139.1,276.8,204.7,351.8
building,188.7,265.3,258.9,325.7
building,45.6,384.8,120.3,486.6
building,120.1,370.3,172.1,407.3
building,141.9,418.7,191.8,462.5
building,147.6,462.7,168.3,485.3
building,42.4,481.8,116.8,512.0
building,158.6,473.0,196.7,512.0
building,189.0,469.2,220.3,487.2
building,184.4,440.3,213.1,462.1
building,209.5,477.8,227.4,492.4
building,208.9,358.2,391.9,498.7
building,174.3,353.7,238.7,441.0
building,241.5,205.5,312.5,268.5
building,320.8,176.8,372.9,249.3
building,380.4,175.9,420.1,215.6
building,370.5,186.0,391.3,219.2
building,374.5,214.0,463.3,280.7
building,427.0,154.0,504.2,270.5
building,476.6,185.2,528.8,254.6
building,465.5,202.3,578.8,277.2
building,437.2,267.6,463.5,293.0
building,455.9,100.3,579.3,190.0
building,573.0,91.0,611.2,147.6
building,520.5,163.9,585.6,249.3
building,445.7,88.5,483.5,133.2
building,370.6,51.5,454.9,162.7
building,366.4,0.8,434.8,54.3
building,412.0,0.0,470.5,0.1
building,290.3,0.0,414.8,11.1
building,289.0,19.9,361.0,65.3
building,193.5,0.0,283.4,57.5
building,214.9,35.5,317.4,193.9
building,146.6,34.0,262.8,225.7
building,498.0,5.9,603.1,99.5
building,504.1,274.7,609.7,363.3
building,370.3,290.2,555.7,398.4
building,425.3,371.6,515.2,463.2
building,592.8,347.0,685.9,426.4
building,649.0,320.3,715.1,383.3
building,697.1,244.6,776.4,337.6
building,726.1,208.8,773.5,241.6
building,771.8,210.5,866.6,318.7
building,745.7,291.2,831.2,388.4
building,722.9,352.2,787.7,417.1
building,744.3,352.4,853.0,462.3
building,673.7,393.0,741.0,479.5
building,603.9,457.9,711.6,512.0
building,727.4,480.9,781.5,512.0
building,775.0,446.2,847.7,512.0
building,820.2,404.7,848.6,435.5
building,823.8,409.6,892.8,477.4
building,831.2,312.0,911.3,401.2
building,903.4,337.3,974.1,423.9
building,925.4,301.8,1024.0,397.9
building,1018.5,296.0,1024.0,394.4
building,616.9,6.3,686.4,39.3
building,684.2,121.7,728.0,174.0
building,725.3,96.0,744.2,117.9
building,609.2,175.2,661.8,231.5
building,600.0,227.0,659.4,264.0
building,573.8,196.7,602.6,241.7
building,573.8,174.4,591.6,211.1
building,732.0,125.3,911.8,264.6
building,881.8,185.6,1003.6,262.5
building,872.1,248.7,935.0,317.4
building,945.7,225.4,1007.8,283.0
building,1008.2,164.2,1024.0,270.4
building,1007.4,117.6,1024.0,173.8
building,954.6,153.1,1011.3,191.4
building,891.0,0.0,1007.9,133.8
building,996.4,0.0,1024.0,117.9
building,986.3,0.0,1024.0,0.8
building,235.2,326.8,348.6,393.3
building,294.5,282.9,349.6,318.7
building,806.0,5.0,879.2,100.3
building,626.8,16.0,769.8,152.6
