feature_type,x_min,y_min,x_max,y_max
building,0.0,301.8,10.4,397.9
building,0.0,296.0,64.6,394.4
building,41.0,264.8,127.9,352.3
building,43.2,361.7,103.6,397.8
building,127.2,246.4,169.8,288.5
building,0.9,489.7,30.0,512.0
building,20.6,480.7,46.7,512.0
building,39.1,373.6,203.4,486.0
building,243.1,410.7,329.8,496.2
building,208.2,355.1,229.1,388.8
building,198.7,289.2,311.8,398.2
building,193.5,235.3,246.7,274.7
building,278.0,241.0,315.5,296.8
building,173.5,141.6,238.6,197.6
building,158.8,0.0,256.0,140.7
building,379.3,86.9,460.8,169.7
building,456.5,74.0,511.6,148.3
building,478.2,155.9,538.9,224.6
building,515.5,247.9,576.5,329.4
building,470.5,403.2,545.5,471.2
building,493.4,331.8,578.9,442.3
building,558.8,323.6,701.7,398.0
building,0.0,164.2,73.4,270.4
building,53.6,136.5,133.5,225.5
building,0.0,117.6,68.4,173.8
building,0.0,0.0,95.3,117.9
building,0.0,0.0,0.1,0.8
building,579.4,0.0,648.4,11.7
building,465.9,0.0,586.5,63.0
building,593.6,0.0,658.6,65.8
building,633.9,0.0,688.7,6.2
building,622.8,71.1,674.0,144.7
building,632.3,146.8,688.7,216.3
building,654.5,202.5,725.1,307.2
building,673.5,376.8,693.5,392.0
building,764.5,257.0,824.9,322.8
building,702.0,29.8,773.8,94.5
building,721.7,69.2,838.0,165.6
building,790.1,57.4,869.9,126.3
building,759.7,158.9,821.4,207.6
building,774.9,0.0,886.9,60.7
building,887.1,0.0,1024.0,87.3
building,965.2,0.0,1020.7,10.5
building,884.7,66.0,994.6,164.8
building,887.7,126.9,921.5,182.0
building,722.1,0.0,804.2,6.0
building,255.1,0.0,345.3,134.0
building,909.1,436.6,989.4,512.0
building,972.0,427.8,1024.0,496.6
building,974.2,397.5,1024.0,433.4
