feature_type,x_min,y_min,x_max,y_max
building,33.5,469.0,128.8,512.0
building,136.5,467.5,231.3,512.0
building,239.4,467.7,349.0,512.0
building,358.9,467.2,450.4,512.0
building,470.2,465.3,565.0,512.0
building,579.3,462.6,681.3,512.0
building,701.8,458.3,794.3,512.0
building,799.9,468.3,910.1,512.0
building,921.3,457.6,1018.0,512.0
building,842.4,237.5,966.2,331.0
building,840.2,123.2,932.6,231.8
building,1009.2,14.1,1024.0,105.7
building,844.6,20.0,950.0,115.6
building,834.2,0.0,946.1,1.4
building,631.9,216.5,726.7,333.2
building,531.5,232.7,615.6,333.4
building,416.1,231.1,516.2,333.7
building,211.6,235.1,294.0,337.8
building,93.5,242.8,197.4,338.0
building,0.0,254.8,84.1,341.0
building,0.4,60.8,83.9,145.6
building,93.4,58.9,193.3,149.9
building,199.4,59.1,301.3,146.9
building,314.4,58.5,402.1,150.2
building,420.7,56.2,507.7,148.8
building,523.3,53.4,620.4,154.6
building,522.9,171.8,543.5,190.9
building,630.5,164.3,646.3,181.2
building,313.0,237.2,407.2,331.3
building,631.4,51.1,721.2,143.1
