feature_type,x_min,y_min,x_max,y_max
building,127.9,165.8,260.6,258.3
building,33.5,0.0,128.8,52.3
building,19.6,49.3,40.0,63.9
building,136.5,0.0,231.3,44.4
building,239.4,0.0,349.0,41.3
building,358.9,0.0,450.4,44.4
building,470.2,0.0,565.0,40.7
building,579.3,0.0,681.3,43.6
building,701.8,0.0,794.3,39.5
building,799.9,0.0,910.1,40.9
building,921.3,0.0,1018.0,31.0
building,940.1,151.2,1024.0,290.3
building,822.7,124.7,879.0,182.1
building,743.9,146.9,801.0,191.3
building,640.4,231.0,738.6,309.0
