feature_type,x_min,y_min,x_max,y_max
building,466.9,465.1,531.3,512.0
building,385.7,325.2,537.1,452.1
building,254.2,414.2,343.2,483.3
building,356.4,309.9,447.1,385.3
building,203.6,342.4,283.2,400.6
building,420.1,180.0,442.0,202.3
building,413.9,162.7,435.2,183.7
building,302.0,165.9,402.2,265.5
building,273.9,132.7,378.7,207.6
building,268.0,116.6,356.2,174.7
building,371.4,108.0,408.7,148.0
building,283.5,93.9,331.8,139.7
building,272.4,58.0,322.3,105.6
building,456.8,13.4,559.9,90.7
building,500.3,0.0,532.6,25.0
building,523.7,0.0,552.2,15.1
building,429.5,61.0,457.0,84.5
building,483.5,65.6,591.5,153.4
building,533.5,152.4,633.2,241.4
building,549.4,122.2,599.5,171.2
building,561.1,202.4,674.5,309.7
building,685.8,161.4,730.7,213.3
building,733.8,130.4,793.0,188.7
building,716.6,90.4,778.5,158.6
building,667.9,50.5,752.1,123.4
building,652.6,19.9,735.0,93.1
building,625.1,0.0,711.9,65.7
