feature_type,x_min,y_min,x_max,y_max
building,250.0,405.2,321.1,488.3
building,291.0,389.3,338.6,437.5
building,203.6,420.4,251.7,472.8
building,172.6,398.2,196.2,425.2
building,342.5,361.3,418.1,459.0
building,407.6,361.7,471.7,461.2
building,468.0,391.5,503.9,430.8
building,424.4,300.5,480.2,364.5
building,425.3,235.2,450.2,258.9
building,524.7,200.9,583.2,254.8
building,386.9,164.3,420.3,198.0
building,465.1,105.6,528.4,167.0
building,444.8,82.8,506.7,146.5
building,554.8,135.5,577.8,157.8
building,583.6,108.5,608.7,133.7
building,626.3,469.5,712.7,512.0
building,0.0,244.3,39.0,320.3
building,0.0,128.6,2.5,244.4
