feature_type,x_min,y_min,x_max,y_max
building,982.4,300.9,1024.0,366.7
building,908.5,269.6,982.7,344.7
building,998.8,429.0,1019.4,447.8
building,1008.6,464.7,1024.0,512.0
building,841.4,379.4,975.7,512.0
building,608.8,353.1,843.6,447.0
building,585.3,429.4,717.6,485.1
building,547.0,342.6,598.8,379.7
building,547.9,476.9,579.8,508.2
building,533.4,446.7,566.7,482.1
building,314.7,337.9,398.5,417.2
building,250.0,385.7,316.9,457.0
building,150.4,423.7,233.5,511.4
building,171.3,327.2,283.2,414.9
building,142.5,319.7,207.8,374.5
building,99.9,212.9,192.4,336.6
building,142.1,372.5,170.8,398.6
building,106.7,99.2,232.8,200.7
building,56.1,174.3,104.0,231.6
building,62.6,67.5,177.9,158.5
building,147.5,22.5,232.1,87.4
building,68.6,8.8,145.2,82.4
building,257.9,483.5,300.1,512.0
building,436.8,101.6,520.7,187.6
building,318.7,46.8,356.2,78.3
building,626.3,0.0,712.7,41.4
building,707.0,5.6,753.5,44.0
