epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,512.684,1.64874,1.09839,1.22359,0.68515,0.5302,0.58892,0.31729,1.57467,0.99329,1.24049,0.0033323,0.0033323,0.0033323
2,1016.6,1.58672,0.97194,1.17927,0.69012,0.53118,0.59259,0.31944,1.57712,0.99595,1.25805,0.00653365,0.00653365,0.00653365
3,1518.15,1.63427,1.00903,1.2017,0.69893,0.53005,0.58932,0.31619,1.6092,0.99831,1.28141,0.00960301,0.00960301,0.00960301
4,2017.88,1.63025,1.00315,1.20291,0.69521,0.5447,0.60563,0.33249,1.56434,0.96524,1.25944,0.009406,0.009406,0.009406
5,2514.17,1.58713,0.96392,1.18517,0.7101,0.55045,0.61968,0.34736,1.51941,0.92853,1.23749,0.009208,0.009208,0.009208
6,3010.71,1.55476,0.93734,1.17083,0.72241,0.55781,0.63023,0.35595,1.4985,0.90929,1.22631,0.00901,0.00901,0.00901
7,3506.15,1.53613,0.92262,1.16325,0.72646,0.56944,0.6398,0.36226,1.48431,0.89604,1.2169,0.008812,0.008812,0.008812
8,4003.12,1.51565,0.90707,1.15337,0.7215,0.5728,0.64106,0.36624,1.46559,0.8853,1.21039,0.008614,0.008614,0.008614
9,4499.44,1.4959,0.89122,1.14504,0.73211,0.57747,0.64876,0.3723,1.45525,0.87057,1.20594,0.008416,0.008416,0.008416
10,4995.69,1.49008,0.88323,1.1436,0.72848,0.57808,0.64869,0.37401,1.4493,0.86625,1.20373,0.008218,0.008218,0.008218
11,5491.89,1.47625,0.87402,1.13722,0.72998,0.58457,0.65465,0.37877,1.44029,0.8593,1.1991,0.00802,0.00802,0.00802
12,5988.11,1.46332,0.86485,1.13207,0.73626,0.5874,0.65859,0.38137,1.43451,0.85113,1.19715,0.007822,0.007822,0.007822
13,6484.82,1.46536,0.86306,1.13337,0.73701,0.58995,0.66038,0.38323,1.43058,0.84673,1.19586,0.007624,0.007624,0.007624
14,6981.27,1.46115,0.85918,1.13155,0.73707,0.59252,0.66175,0.38404,1.42772,0.84323,1.19464,0.007426,0.007426,0.007426
15,7477.51,1.45066,0.85092,1.12556,0.73972,0.59302,0.6632,0.38582,1.42463,0.83994,1.19329,0.007228,0.007228,0.007228
16,7973.79,1.44296,0.8446,1.12324,0.74171,0.59415,0.66483,0.38708,1.42211,0.83654,1.19204,0.00703,0.00703,0.00703
17,8470.58,1.4358,0.83807,1.12031,0.74108,0.59712,0.666,0.3878,1.42096,0.83364,1.19124,0.006832,0.006832,0.006832
18,8966.37,1.42829,0.83208,1.11701,0.74238,0.59761,0.66676,0.38877,1.42061,0.83186,1.19119,0.006634,0.006634,0.006634
19,9463.06,1.42397,0.82885,1.11404,0.74205,0.59873,0.66768,0.38947,1.41907,0.83021,1.19049,0.006436,0.006436,0.006436
20,9959.52,1.42359,0.82723,1.11344,0.74158,0.59998,0.6686,0.39003,1.41756,0.82918,1.18976,0.006238,0.006238,0.006238
21,10455.8,1.41567,0.82154,1.1101,0.74047,0.60138,0.66903,0.39069,1.41636,0.82766,1.18943,0.00604,0.00604,0.00604
22,10950.9,1.40714,0.81442,1.10649,0.74097,0.6019,0.66981,0.3912,1.41539,0.82621,1.18897,0.005842,0.005842,0.005842
23,11447.3,1.40586,0.80907,1.10552,0.74257,0.60172,0.67047,0.39169,1.41465,0.82512,1.18859,0.005644,0.005644,0.005644
24,11943.9,1.40131,0.80713,1.10584,0.74295,0.6024,0.671,0.39212,1.41403,0.82377,1.18852,0.005446,0.005446,0.005446
25,12440,1.39302,0.80032,1.10111,0.74413,0.60302,0.67172,0.3926,1.41367,0.82279,1.18854,0.005248,0.005248,0.005248
26,12935.1,1.38629,0.79375,1.09922,0.74383,0.60407,0.67224,0.3931,1.41314,0.82205,1.18843,0.00505,0.00505,0.00505
27,13431.4,1.38079,0.78818,1.09723,0.74398,0.60459,0.67266,0.39344,1.41278,0.82095,1.18837,0.004852,0.004852,0.004852
28,13927.4,1.37854,0.78646,1.09701,0.74409,0.60505,0.67317,0.39377,1.41198,0.81965,1.18804,0.004654,0.004654,0.004654
29,14423.9,1.3726,0.77953,1.09342,0.7456,0.60473,0.6736,0.39407,1.41162,0.81854,1.18794,0.004456,0.004456,0.004456
30,14919.4,1.36963,0.77613,1.09148,0.74635,0.60536,0.67396,0.39427,1.41119,0.81755,1.18792,0.004258,0.004258,0.004258
31,15415.5,1.36386,0.7691,1.08879,0.74735,0.60527,0.67448,0.39456,1.41109,0.81672,1.18779,0.00406,0.00406,0.00406
32,15911.4,1.35538,0.76411,1.0852,0.74773,0.60609,0.67479,0.39497,1.41103,0.81581,1.1878,0.003862,0.003862,0.003862
33,16407.7,1.35104,0.75993,1.08432,0.74876,0.60589,0.67501,0.39527,1.41086,0.81461,1.18792,0.003664,0.003664,0.003664
34,16904,1.33925,0.74813,1.08068,0.74971,0.60583,0.67552,0.39559,1.41101,0.81352,1.18806,0.003466,0.003466,0.003466
35,17400.4,1.33386,0.74355,1.07884,0.75039,0.60627,0.67586,0.39577,1.41087,0.81244,1.18811,0.003268,0.003268,0.003268
36,17897.3,1.33106,0.73993,1.07563,0.75043,0.60694,0.6761,0.39592,1.41125,0.81111,1.18833,0.00307,0.00307,0.00307
37,18393.7,1.3222,0.73102,1.07311,0.75099,0.60709,0.67639,0.3962,1.41146,0.81015,1.18856,0.002872,0.002872,0.002872
38,18890.3,1.31241,0.72334,1.06924,0.75061,0.60756,0.67636,0.3963,1.41206,0.80932,1.18903,0.002674,0.002674,0.002674
39,19387,1.30975,0.71902,1.06735,0.75374,0.60583,0.67664,0.39644,1.41225,0.80834,1.18922,0.002476,0.002476,0.002476
40,19883.2,1.30106,0.71009,1.06528,0.75245,0.60705,0.67669,0.39649,1.41279,0.80723,1.18961,0.002278,0.002278,0.002278
41,20378,1.29297,0.71092,1.08493,0.75353,0.60729,0.67674,0.39648,1.41351,0.80669,1.19006,0.00208,0.00208,0.00208
42,20872,1.28564,0.70009,1.08054,0.754,0.60746,0.67678,0.39639,1.41445,0.80575,1.19072,0.001882,0.001882,0.001882
43,21366.1,1.27644,0.69071,1.07808,0.75543,0.60709,0.67651,0.39615,1.41533,0.80494,1.19143,0.001684,0.001684,0.001684
44,21860.3,1.26611,0.68173,1.07437,0.75556,0.6076,0.67633,0.39593,1.41606,0.80448,1.19211,0.001486,0.001486,0.001486
45,22354.1,1.25527,0.66944,1.06746,0.75633,0.60744,0.67636,0.39575,1.41705,0.80415,1.19291,0.001288,0.001288,0.001288
46,22847.9,1.2469,0.6617,1.06508,0.75739,0.60713,0.67635,0.39553,1.41818,0.8036,1.19391,0.00109,0.00109,0.00109
47,23342.4,1.23458,0.65011,1.06097,0.75836,0.60713,0.67611,0.39514,1.41987,0.8029,1.1952,0.000892,0.000892,0.000892
48,23836.3,1.22771,0.64315,1.05568,0.75929,0.60697,0.67603,0.39473,1.42183,0.80242,1.1965,0.000694,0.000694,0.000694
49,24330.5,1.21912,0.63604,1.05249,0.7595,0.6072,0.67593,0.39431,1.4236,0.80173,1.19772,0.000496,0.000496,0.000496
50,24824.9,1.21113,0.62747,1.04847,0.75946,0.60729,0.67562,0.39379,1.42541,0.80103,1.19904,0.000298,0.000298,0.000298
